name	x	y	z	size	group	hemisphere	type	lobe	region1	region2	gray_white
RF1	39.0	59.0	-3.0	-999	RF	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 10	Gray Matter
RF2	45.0	49.0	3.0	-999	RF	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 10	Gray Matter
RF3	48.0	40.0	6.0	-999	RF	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 46	Gray Matter
RF4	50.0	31.0	11.0	-999	RF	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 46	Gray Matter
RF5	53.0	21.0	15.0	-999	RF	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 45	Gray Matter
RF6	56.0	10.0	20.0	-999	RF	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 44	Gray Matter
RF7	58.0	1.0	25.0	-999	RF	R	strip	Frontal Lobe	Precentral Gyrus	Brodmann area 4_6	Gray Matter
RF8	59.0	-10.0	28.0	-999	RF	R	strip	Frontal Lobe	Precentral Gyrus	Brodmann area 4_6	Gray Matter
ROF1	-22.0	22.0	-19.0	-999	ROF	L	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter
ROF2	-10.0	23.0	-20.0	-999	ROF	L	strip	Frontal Lobe	Rectal Gyrus	Brodmann area 11	Gray Matter
ROF3	0.0	22.0	-20.0	-999	ROF	L	strip	Frontal Lobe	Rectal Gyrus	Brodmann area 11	Gray Matter
ROF4	12.0	24.0	-19.0	-999	ROF	R	strip	Frontal Lobe	Rectal Gyrus	Brodmann area 11	Gray Matter
ROF5	21.0	25.0	-15.0	-999	ROF	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 11	Gray Matter
ROF6	32.0	26.0	-12.0	-999	ROF	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter
ROF7	40.0	28.0	-7.0	-999	ROF	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter
ROF8	48.0	30.0	0.0	-999	ROF	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter
RATA1	28.0	20.0	-25.0	-999	RATA	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter
RATA2	36.0	25.0	-19.0	-999	RATA	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter
RATA3	46.0	23.0	-15.0	-999	RATA	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter
RATA4	53.0	15.0	-13.0	-999	RATA	R	strip	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 38	Gray Matter
RATA5	58.0	5.0	-10.0	-999	RATA	R	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
RATA6	61.0	-5.0	-9.0	-999	RATA	R	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
RATA7	63.0	-17.0	-7.0	-999	RATA	R	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
RATA8	63.0	-27.0	-7.0	-999	RATA	R	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
RATB1	31.0	18.0	-29.0	-999	RATB	R	strip	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 38	Gray Matter
RATB2	38.0	15.0	-34.0	-999	RATB	R	strip	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 38	Gray Matter
RATB3	46.0	8.0	-34.0	-999	RATB	R	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
RATB4	53.0	-1.0	-32.0	-999	RATB	R	strip	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter
RATB5	58.0	-10.0	-28.0	-999	RATB	R	strip	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter
RATB6	61.0	-19.0	-23.0	-999	RATB	R	strip	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter
RATB7	63.0	-27.0	-17.0	-999	RATB	R	strip	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter
RATB8	63.0	-36.0	-11.0	-999	RATB	R	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
RSTA1	4.0	-59.0	4.0	-999	RSTA	R	strip	Limbic Lobe	Posterior Cingulate	Brodmann area 30	Gray Matter
RSTA2	9.0	-57.0	-4.0	-999	RSTA	R	strip	Occipital Lobe	Lingual Gyrus	Brodmann area 19	Gray Matter
RSTA3	16.0	-54.0	-11.0	-999	RSTA	R	strip	Limbic Lobe	Sub-Gyral	Brodmann area 19	Gray Matter
RSTA4	25.0	-51.0	-17.0	-999	RSTA	R	strip	Occipital Lobe	Fusiform Gyrus	Brodmann area 37	Gray Matter
RSTA5	34.0	-49.0	-21.0	-999	RSTA	R	strip	Temporal Lobe	Fusiform Gyrus	Brodmann area 37	Gray Matter
RSTA6	45.0	-46.0	-22.0	-999	RSTA	R	strip	Temporal Lobe	Fusiform Gyrus	Brodmann area 37	Gray Matter
RSTA7	56.0	-42.0	-19.0	-999	RSTA	R	strip	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 37	Gray Matter
RSTA8	60.0	-39.0	-12.0	-999	RSTA	R	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
RSTB1	5.0	-89.0	-11.0	-999	RSTB	R	strip	Occipital Lobe	Lingual Gyrus	Brodmann area 18	Gray Matter
RSTB2	13.0	-84.0	-14.0	-999	RSTB	R	strip	Occipital Lobe	Lingual Gyrus	Brodmann area 18	Gray Matter
RSTB3	23.0	-79.0	-17.0	-999	RSTB	R	strip	Occipital Lobe	Fusiform Gyrus	Brodmann area 19	Gray Matter
RSTB4	33.0	-75.0	-17.0	-999	RSTB	R	strip	Occipital Lobe	Fusiform Gyrus	Brodmann area 19	Gray Matter
RSTB5	44.0	-69.0	-16.0	-999	RSTB	R	strip	Occipital Lobe	Fusiform Gyrus	Brodmann area 19	Gray Matter
